Preferred State,County,scholar,birthday_party,labs,preschool_prog,homeschool_prog,expiration_date,member_category,membership_year,member_threeplus,unknown_renewal_time,known_time_renewed,total_renewed_times,percent_late
Michigan,Ingham,0,0,0,0,0,2/29/2020,Family,4,1,0,3,3,0.333333333
Michigan,Ingham,0,0,1,0,0,10/31/2018,Family,5,1,0,4,4,0
Michigan,Ingham,0,0,0,0,0,2/29/2020,Elemental,3,1,0,2,2,0
Michigan,Ingham,0,0,0,0,0,6/30/2020,Elemental,12,1,0,11,11,0.090909091
Michigan,Ingham,0,0,0,0,0,5/31/2020,Elemental,3,1,0,2,2,1
Michigan,Ingham,0,0,0,0,0,12/31/2019,Family,18,1,0,17,17,0.470588235
Michigan,Ingham,0,0,0,0,0,1/31/2020,Elemental,18,1,0,17,17,0.352941176
Michigan,Ingham,0,0,0,0,0,8/31/2019,Elemental,6,1,0,5,5,0.2
Michigan,Ingham,0,0,0,0,0,1/31/2020,Family,27,1,0,26,26,0.461538462
Michigan,Ingham,0,0,0,0,0,11/30/2019,Enhanced,8,1,0,7,7,0.714285714
Michigan,Ingham,0,0,1,0,0,5/31/2020,Family,1,0,0,0,0,0
Michigan,Ingham,0,0,0,1,0,3/31/2020,Family,2,0,0,1,1,0
Michigan,Ingham,0,0,0,0,0,5/31/2020,Family,13,1,0,12,12,0.25
Michigan,Ingham,0,0,0,0,0,5/31/2020,Elemental,6,1,0,5,5,1
Michigan,Ingham,0,0,1,1,0,2/29/2020,Elemental,7,1,1,5,6,0.666666667
Michigan,Eaton,0,0,0,0,0,8/31/2019,Family,1,0,0,0,0,0
Michigan,Ingham,0,0,0,0,0,8/31/2020,Family,2,0,0,1,1,0
Michigan,Eaton,0,0,0,0,0,11/30/2019,Enhanced,9,1,0,8,8,1
Michigan,Ingham,0,0,1,0,0,6/30/2020,Family,14,1,0,13,13,0.153846154
Michigan,Ingham,0,0,0,0,0,8/31/2019,Family,1,0,0,0,0,0
Michigan,Ingham,0,0,0,0,0,4/30/2020,Elemental,6,1,0,5,5,0
Michigan,Ingham,0,0,0,0,0,8/31/2019,Family,25,1,0,24,24,0.333333333
Michigan,Ingham,0,0,0,0,0,2/29/2020,Elemental,12,1,0,11,11,0.545454545
Michigan,Ingham,0,0,0,0,0,9/30/2019,Family,14,1,0,13,13,0.538461538
Michigan,Shiawassee,0,0,0,0,0,2/29/2020,Elemental,20,1,1,18,19,0.105263158
Michigan,Ingham,0,0,0,0,0,7/31/2020,Family,5,1,0,4,4,0.5
Michigan,Ingham,0,0,0,0,0,7/31/2020,Elemental,14,1,0,13,13,0.538461538
Michigan,Van Buren,0,0,0,0,0,8/31/2019,Family,1,0,0,0,0,0
Michigan,Ingham,0,0,0,0,0,1/31/2020,Family,18,1,1,16,17,0.176470588
Michigan,Ingham,0,0,0,0,0,1/31/2020,Elemental,4,1,0,3,3,1
Michigan,Ingham,0,0,0,0,0,3/31/2020,Family,7,1,0,6,6,0.833333333
Michigan,Ingham,0,0,0,0,0,8/31/2019,Enhanced,8,1,0,7,7,0.714285714
Michigan,Ingham,0,0,0,0,0,11/30/2019,Family,16,1,0,15,15,0.666666667
Michigan,Ingham,0,0,0,0,0,11/30/2019,Family,10,1,0,9,9,0.555555556
Michigan,Clinton,0,0,0,0,0,1/31/2020,Enhanced,3,1,0,2,2,0.5
Michigan,Ingham,0,0,0,0,0,12/31/2019,Elemental,31,1,0,30,30,0.2
