Constituent ID,History All Renewed On Dates,History Expires On,History Membership Category,Renewal Date Fixed,Exp date fixed,
-27785,,31/01/2017,Family,#VALUE!,1/31/2017,
-27785,26/01/2017,31/01/2018,Family,1/26/2017,1/31/2018,
-27785,3/2/2018,28/02/2019,Family,2/3/2018,2/28/2019,
462,,30/09/2014,Family,#VALUE!,9/30/2014,
462,30/08/2014,31/10/2015,Family,8/30/2014,10/31/2015,
462,6/10/2015,31/10/2016,Family,10/6/2015,10/31/2016,
462,13/10/2016,31/10/2017,Family,10/13/2016,10/31/2017,
462,15/10/2017,31/10/2018,Family,10/15/2017,10/31/2018,
637,,31/07/2017,Family,#VALUE!,7/31/2017,
884,,28/02/2018,Family,#VALUE!,2/28/2018,
884,13/02/2018,28/02/2019,Enhanced,2/13/2018,2/28/2019,
1011,3/4/2013,30/04/2014,Grandparent,4/3/2013,4/30/2014,
1011,7/4/2014,30/04/2015,Enhanced,4/7/2014,4/30/2015,
1011,5/4/2015,31/05/2016,Enhanced,4/5/2015,5/31/2016,
1011,5/5/2016,31/05/2017,SED,5/5/2016,5/31/2017,
1011,11/5/2017,31/05/2018,SED,5/11/2017,5/31/2018,
1011,7/5/2018,31/05/2019,Elemental,5/7/2018,5/31/2019,
1086,23/10/2015,31/10/2016,SED,10/23/2015,10/31/2016,
1157,,31/10/2015,Enhanced,#VALUE!,10/31/2015,
1157,31/10/2015,31/10/2016,Enhanced,10/31/2015,10/31/2016,
1348,1/6/2014,30/06/2015,Family,6/1/2014,6/30/2015,
1348,23/08/2015,30/09/2016,Family,8/23/2015,9/30/2016,
1348,22/12/2016,31/12/2017,Family,12/22/2016,12/31/2017,
1348,2/12/2017,31/12/2018,Family,12/2/2017,12/31/2018,
1348,20/12/2018,31/12/2019,Family,12/20/2018,12/31/2019,
1370,14/08/2013,31/08/2014,Family,8/14/2013,8/31/2014,
1370,30/04/2017,30/04/2018,Family,4/30/2017,4/30/2018,
1377,28/12/2013,31/12/2014,Enhanced,12/28/2013,12/31/2014,
1377,6/12/2014,31/01/2016,SED,12/6/2014,1/31/2016,
1377,6/12/2015,31/01/2017,SED,12/6/2015,1/31/2017,
1377,31/01/2017,31/01/2018,SED,1/31/2017,1/31/2018,
1377,3/12/2017,31/01/2019,Elemental,12/3/2017,1/31/2019,
1377,17/12/2018,31/01/2020,Elemental,12/17/2018,1/31/2020,
1552,,30/06/2014,Family,#VALUE!,6/30/2014,
1552,27/05/2014,30/06/2015,Family,5/27/2014,6/30/2015,
1563,,28/02/2014,Grandparent,#VALUE!,2/28/2014,
1563,12/1/2014,28/02/2015,Family,1/12/2014,2/28/2015,
1563,25/06/2015,31/07/2016,Enhanced,6/25/2015,7/31/2016,
1563,11/7/2016,31/07/2017,Enhanced,7/11/2016,7/31/2017,
1563,30/07/2017,31/08/2018,Enhanced,7/30/2017,8/31/2018,
1563,29/07/2018,31/08/2019,Elemental,7/29/2018,8/31/2019,
1564,9/12/2013,31/12/2014,Family,12/9/2013,12/31/2014,
