Constituent ID,Current Joined On Date,Current All Renewed On Dates,History All Renewed On Dates,Current Expires On,History Expires On,Current Category,History Membership Category
32461,2/27/2019,,,2/29/2020,2/29/2020,Family,Family
31364,5/29/2018,,,5/31/2019,5/31/2019,Enhanced,Enhanced
27542,11/21/2015,12/27/2018,,12/31/2019,11/30/2016,Family,Family
27542,11/21/2015,12/27/2018,12/27/2018,12/31/2019,12/31/2019,Family,Family
30263,10/12/2017,,,10/31/2018,10/31/2018,Family,Family
28182,4/3/2016,11/20/2018,,12/31/2019,4/30/2017,Family,Family
28182,4/3/2016,11/20/2018,12/23/2017,12/31/2019,12/31/2018,Family,Family
28182,4/3/2016,11/20/2018,11/20/2018,12/31/2019,12/31/2019,Family,Family
30842,2/2/2018,,,2/28/2019,2/28/2019,Family,Family
27630,12/13/2015,6/26/2019,6/20/2018,7/31/2020,7/31/2019,Enhanced,Family
27630,12/13/2015,6/26/2019,,7/31/2020,12/31/2016,Enhanced,Family
27630,12/13/2015,6/26/2019,6/26/2019,7/31/2020,7/31/2020,Enhanced,Enhanced
16664,2/27/2002,9/27/2018,9/27/2011,9/30/2019,9/30/2012,Elemental,Family-Plus
16664,2/27/2002,9/27/2018,10/10/2012,9/30/2019,10/31/2013,Elemental,Family
16664,2/27/2002,9/27/2018,10/2/2013,9/30/2019,10/31/2014,Elemental,Enhanced
16664,2/27/2002,9/27/2018,,9/30/2019,2/28/2003,Elemental,Family
16664,2/27/2002,9/27/2018,6/3/2016,9/30/2019,6/30/2017,Elemental,Enhanced
16664,2/27/2002,9/27/2018,9/27/2018,9/30/2019,9/30/2019,Elemental,Elemental
16664,2/27/2002,9/27/2018,,9/30/2019,9/30/2010,Elemental,Family-Plus
16664,2/27/2002,9/27/2018,8/30/2010,9/30/2019,9/30/2011,Elemental,Family-Plus
16664,2/27/2002,9/27/2018,6/20/2017,9/30/2019,7/31/2018,Elemental,Enhanced
16664,2/27/2002,9/27/2018,1/2/2015,9/30/2019,2/29/2016,Elemental,Enhanced
16664,2/27/2002,9/27/2018,2/22/2003,9/30/2019,3/31/2004,Elemental,Family
16664,2/27/2002,9/27/2018,3/26/2004,9/30/2019,4/30/2005,Elemental,Family
16664,2/27/2002,9/27/2018,4/29/2005,9/30/2019,5/31/2006,Elemental,Family
16664,2/27/2002,9/27/2018,5/23/2006,9/30/2019,6/30/2007,Elemental,Family
16664,2/27/2002,9/27/2018,6/28/2007,9/30/2019,7/31/2008,Elemental,Family
16664,2/27/2002,9/27/2018,7/16/2008,9/30/2019,8/31/2009,Elemental,Family
25683,2/14/2014,4/10/2018,,4/30/2019,2/28/2015,Family,Family
