Member Category,Exp. Date,Members,On Time,Less than 1 Month,Late (w/in 6 mos),Overall Rate
CEAP,Oct-2019,13,30.8%,,,
CEAP,Sep-2019,21,14.3%,4.8%,,
CEAP,Aug-2019,53,15.1%,7.5%,,
CEAP,Jul-2019,18,38.9%,5.6%,,
CEAP,Jun-2019,2,50.0%,50.0%,,
CEAP,May-2019,12,16.7%,,,
CEAP,Apr-2019,21,38.1%,,,
CEAP,Mar-2019,31,16.1%,3.2%,16.1%,35.5%
CEAP,Feb-2019,21,19.0%,9.5%,9.5%,38.1%
CEAP,Jan-2019,19,36.8%,,5.3%,
CEAP,Dec-2018,12,33.3%,16.7%,,
CEAP,Nov-2018,14,28.6%,7.1%,21.4%,57.1%
CEAP,Oct-2018,33,12.1%,,12.1%,
Elemental,Oct-2019,34,50.0%,,,
Elemental,Sep-2019,28,32.1%,17.9%,,
Elemental,Aug-2019,68,20.6%,13.2%,,
Elemental,Jul-2019,27,25.9%,3.7%,,
Elemental,Jun-2019,7,57.1%,42.9%,,
Elemental,May-2019,19,21.1%,5.3%,,
Elemental,Apr-2019,52,25.0%,7.7%,17.3%,50.0%
Elemental,Mar-2019,55,29.1%,10.9%,3.6%,43.6%
Elemental,Feb-2019,57,33.3%,10.5%,10.5%,54.4%
Elemental,Jan-2019,51,23.5%,27.5%,11.8%,62.7%
Elemental,Dec-2018,100,44.0%,6.0%,13.0%,63.0%
Elemental,Nov-2018,31,35.5%,9.7%,22.6%,67.7%
Elemental,Oct-2018,27,40.7%,25.9%,14.8%,81.5%
Enhanced,Oct-2019,21,28.6%,,,
Enhanced,Sep-2019,16,25.0%,6.2%,,
Enhanced,Aug-2019,36,25.0%,13.9%,,
Enhanced,Jul-2019,24,20.8%,4.2%,,
Enhanced,May-2019,18,27.8%,5.6%,,
Enhanced,Apr-2019,27,11.1%,3.7%,11.1%,25.9%
Enhanced,Mar-2019,34,20.6%,5.9%,2.9%,29.4%
Enhanced,Feb-2019,31,48.4%,6.5%,3.2%,58.1%
Enhanced,Jan-2019,42,26.2%,9.5%,14.3%,50.0%
Enhanced,Dec-2018,69,34.8%,5.8%,11.6%,52.2%
Enhanced,Nov-2018,23,21.7%,13.0%,21.7%,56.5%
Enhanced,Oct-2018,23,17.4%,17.4%,30.4%,65.2%
Family,Oct-2019,118,16.9%,,,
Family,Sep-2019,152,13.2%,5.9%,,
Family,Aug-2019,321,12.5%,7.2%,,
Family,Jul-2019,144,12.5%,6.9%,,
Family,Jun-2019,10,30.0%,,,
Family,May-2019,102,25.5%,5.9%,,
Family,Apr-2019,256,12.9%,5.5%,11.3%,29.7%
Family,Mar-2019,307,18.9%,7.2%,9.1%,35.2%
Family,Feb-2019,202,16.3%,12.4%,14.9%,43.6%
Family,Jan-2019,270,19.3%,15.6%,9.6%,44.4%
Family,Dec-2018,364,31.0%,7.1%,13.2%,51.4%
Family,Nov-2018,157,17.8%,8.9%,17.2%,43.9%
Family,Oct-2018,124,15.3%,7.3%,18.5%,41.1%
